Pfam domain	# of occurrences	Pfam domain Name
PF20143	1	atp-nad kinase c-terminal domain
PF08675	1	rna binding domain
PF11032	1	apom domain
PF15694	1	mediator complex subunit 26 middle domain
PF15693	1	mediator complex subunit 26 c-terminal
PF11708	1	pre-mrna splicing prp18-interacting factor
PF16420	1	ubiquitin-like modifier-activating enzyme atg7 n-terminus
PF06566	1	chondroitin sulphate attachment domain
PF13881	1	ubiquitin-2 like rad60 sumo-like
PF11547	1	e3 ubiquitin ligase edd
PF06424	1	prp1 splicing factor, n-terminal
PF01168	1	alanine racemase, n-terminal domain
PF09387	1	mitochondrial rna binding protein mrp
PF04110	1	ubiquitin-like autophagy protein apg12 
PF08492	1	srp72 rna-binding domain
PF09230	1	dna fragmentation factor 40 kda
PF19914	1	wolframin ef-hand domain
PF19913	1	wolframin c-terminal ob-fold domain
PF03215	1	rad17 p-loop domain
PF06821	1	serine hydrolase
PF02934	1	gatb/gate catalytic domain
PF02637	1	gatb domain
PF16491	1	caax prenyl protease n-terminal, five membrane helices
PF16045	1	lish
PF18149	1	n-terminal helicase pwi domain
PF08239	1	bacterial sh3 domain
PF08920	1	splicing factor 3b subunit 1
PF04695	1	pex14 n-terminal domain
PF10276	1	zinc-finger domain
PF02970	1	tubulin binding cofactor a
PF09051	1	stannin cytoplasmic
PF09049	1	stannin transmembrane
PF08511	1	coq9
PF19432	1	dnaj protein rme-8 n-terminal
PF14237	1	gyf domain 2
PF13236	1	clustered mitochondria
PF18577	1	astrotactin-2 c-terminal beta-hairpin domain
PF19737	1	fukutin n-terminal
PF03919	1	mrna capping enzyme, c-terminal domain
PF01331	1	mrna capping enzyme, catalytic domain
PF16508	1	second brct domain on nijmegen syndrome breakage protein
PF03091	1	cuta1 divalent ion tolerance protein
PF18131	1	kn17 sh3-like c-terminal domain
PF01381	1	helix-turn-helix
PF08068	1	dkcld (nuc011) domain
PF03721	1	udp-glucose/gdp-mannose dehydrogenase family, nad binding domain
PF03720	1	udp-glucose/gdp-mannose dehydrogenase family, udp binding domain
PF00984	1	udp-glucose/gdp-mannose dehydrogenase family, central domain
PF11923	1	nfact protein c-terminal domain
PF19434	1	dynamin-like gtpase opa1 c-terminal
PF10650	1	putative zinc-finger domain
PF17978	1	ring/ubox like zinc-binding domain
PF17976	1	ring/ubox like zinc-binding domain
PF09263	1	peroxisome biogenesis factor 1, n-terminal 
PF09262	1	peroxisome biogenesis factor 1, n-terminal 
PF13869	1	nucleotide hydrolase
PF02374	1	anion-transporting atpase
PF05014	1	nucleoside 2-deoxyribosyltransferase
PF08945	1	bcl-x interacting, bh3 domain
PF16672	1	ragulator complex protein lamtor5
PF08572	1	pre-mrna processing factor 3 (prp3)
PF19304	1	d-3-phosphoglycerate dehydrogenase intervening domain
PF14593	1	ph domain
PF17968	1	toll-like receptor 3 trans-membrane domain
PF16725	1	nucleolin binding domain
PF09470	1	telethonin protein
PF09405	1	casc3/barentsz eif4aiii binding
PF08149	1	bing4ct (nuc141) domain
PF16953	1	protein-only rnase p
PF18076	1	formylglycinamide ribonucleotide amidotransferase n-terminal
PF18072	1	formylglycinamide ribonucleotide amidotransferase linker domain
PF13507	1	cobb/cobq-like glutamine amidotransferase domain
PF12210	1	hepatocyte growth factor-regulated tyrosine kinase substrate
PF08997	1	ubiquinol-cytochrome c reductase complex, 6.4kd protein
PF10394	1	histone acetyl transferase hat1 n-terminus
PF19278	1	hydantoinase/oxoprolinase c-terminal domain
PF18077	1	domain of unknown function (duf5595)
PF09286	1	pro-kumamolisin, activation domain 
PF12009	1	telomerase ribonucleoprotein complex - rna binding domain
PF17286	1	prmt5 oligomerisation domain
PF17285	1	prmt5 tim barrel domain
PF05185	1	prmt5 arginine-n-methyltransferase
PF13622	1	thioesterase-like superfamily
PF17908	1	apaf-1 helical domain
PF00931	1	nb-arc domain
PF10480	1	beta-1 integrin binding protein
PF13574	1	metallo-peptidase family m12b reprolysin-like
PF05726	1	pirin c-terminal cupin domain
PF00445	1	ribonuclease t2 family
PF16705	1	nudix, or n-terminal npxy motif-rich,  region of krit
PF03146	1	agrin nta domain
PF17786	1	mannosidase ig/cbm-like domain
PF17753	1	ig-fold domain
PF18409	1	polo-like kinase 4 polo box 2
PF18190	1	polo-like kinase 4 polo box 1
PF14700	1	dna-directed rna polymerase n-terminal
PF15289	1	regulatory factor x-associated c-terminal binding domain
PF09033	1	dna fragmentation factor 45kda, c terminal domain
PF11942	1	spt5 transcription elongation factor, acidic n-terminal
PF18265	1	nas2 n_terminal domain
PF18098	1	26s proteasome regulatory subunit rpn5 c-terminal domain
PF18503	1	26s proteasome subunit rpn6 c-terminal helix domain
PF18055	1	26s proteasome regulatory subunit rpn6 n-terminal domain
PF12838	1	4fe-4s dicluster domain
PF17737	1	ig domain in c19orf38 (hide1)
PF09415	1	cenp-s associating centromere protein x
PF19305	1	mmge/prpd c-terminal domain
PF03972	1	mmge/prpd n-terminal domain
PF09349	1	ohcu decarboxylase
PF03447	1	homoserine dehydrogenase, nad binding domain
PF02988	1	phospholipase a2 inhibitor
PF15963	1	myb dna-binding like
PF18130	1	atp-grasp n-terminal domain
PF15632	1	atp-grasp in the biosynthetic pathway with ter operon
PF16418	1	ccr4-not transcription complex subunit 1 heat repeat
PF16417	1	ccr4-not transcription complex subunit 1 ttp binding domain
PF16415	1	ccr4-not transcription complex subunit 1 caf1-binding domain
PF12842	1	domain of unknown function (duf3819)
PF10520	1	lipid desaturase domain
PF18706	1	d-ribitol-5-phosphate cytidylyltransferase c-terminal domain
